,Unnamed: 0,Unnamed: 0.1,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
395,395,395,171367,2017-02-19 16:30:00,723,800, ,TWINING,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.5818566,-117.0454691
396,396,396,171470,2017-02-19 19:29:00,242,9700, ,MIRA MESA,BOULEVARD, , , ,21453B,VC,AFTER STOPPING YIELD TO PEDESTRIANS,1,0,,32.917325500000004,-117.1180269
397,397,397,173118,2017-02-19 19:30:00,515,2500, ,IMPERIAL,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7063407,-117.1402135
398,398,398,171466,2017-02-19 19:56:00,313,9400, ,BALBOA,AVENUE, , , ,2803(A),VC,VIOLATION OF LOAD REGULATIONS,0,0,,32.8223973,-117.1274556
399,399,399,172327,2017-02-19 22:00:00,242,10700, ,WESTVIEW,PARKWAY, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.9150435,-117.1205904
400,400,400,171377,2017-02-19 22:49:00,813,4000, ,32ND,STREET, , , ,21651B,VC,DRIVE THE WRONG WAY ON A DIVIDED HIGHWAY,1,0,MISDEMEANOR,32.75038,-117.1252491
401,401,401,171446,2017-02-19 23:00:00,242,10700, ,WESTVIEW,PARKWAY, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.9150435,-117.1205904
402,402,402,171486,2017-02-20 00:01:00,315,2200, ,GILL VILLAGE,WAY, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7742119,-117.1467197
403,403,403,171440,2017-02-20 00:03:00,315,2500, ,NORTHSIDE,DRIVE, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,32.7840365,-117.1282071
404,404,404,171647,2017-02-20 01:00:00,624,2300, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.755381400000005,-117.1400765
405,405,405,171432,2017-02-20 04:30:00,611,3500, ,SPORTS ARENA,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7551821,-117.2123081
406,406,406,171888,2017-02-20 06:00:00,451,5200, ,PIROTTE,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7292063,-117.0837136
407,407,407,171520,2017-02-20 07:00:00,613,3900, ,WEST POINT LOMA,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7548007,-117.220005
408,408,408,171492,2017-02-20 08:30:00,839,3900, ,WIGHTMAN,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7478386,-117.1106798
409,409,409,171388,2017-02-20 11:13:00,122,4700, ,JEWELL,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.80299400000001,-117.2398427
410,410,410,171495,2017-02-20 11:20:00,324,6400, ,LAKE ARROWHEAD,DRIVE, , , ,22450(A),VC,STOP REQUIREMENTS STATE STOP LINE,1,0,MISDEMEANOR,32.796561600000004,-117.0099008
411,411,411,171489,2017-02-20 11:58:00,813,0, ,HOWARD,AVENUE, ,IDAHO,STREET,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.75406,-117.1357461
412,412,412,171376,2017-02-20 12:57:00,811,3600, ,EL CAJON,BOULEVARD, , , ,21658A,VC,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,0,0,,32.7552964,-117.1157874
413,413,413,171508,2017-02-20 14:15:00,124,2600, ,HIDDEN VALLEY,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.847852100000004,-117.251505
414,414,414,171434,2017-02-20 16:10:00,623,7000, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7693892,-117.1701881
