,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
989,185995,2018-08-06 10:35:00,234,16700, ,BERNARDO CENTER,DRIVE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,1,0,,33.0168072,-117.0765908
990,186180,2018-08-06 10:35:00,241,9800, ,MIRA MESA,BOULEVARD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,0,0,,32.9173065,-117.1173768
991,186149,2018-08-06 11:55:00,441,3400, ,NATIONAL,AVENUE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.6962371,-117.1210292
992,186011,2018-08-06 15:15:00,113,4700, ,JUTLAND,DRIVE, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,32.8305045,-117.2170867
993,186232,2018-08-06 15:30:00,931,3800, ,SORRENTO VALLEY,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.9013287,-117.2231644
994,186171,2018-08-06 15:59:00,713,2700, ,LA MEDIA,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.5488629,-116.9586573
995,186201,2018-08-06 17:40:00,443,1600,S,43RD,STREET, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,MISDEMEANOR,32.6898043,-117.1024476
996,186080,2018-08-06 18:19:00,934,0, ,DERBY DOWNS, , ,EL CAMINO REAL, ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.965221,-117.234108
997,186003,2018-08-06 18:24:00,524,1200, ,1ST,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7177696,-117.1638714
998,185974,2018-08-06 19:15:00,231,12600, ,POWAY,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.9537098,-117.058167
999,187773,2018-08-06 20:00:00,512,2400, ,IMPERIAL,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.706321,-117.1424175
