,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19564,SS-019426,65.258,MT PUTMAN AV,MT ARMET DR,MT PUTMAN CT,563.23,36.0,Residential,AC Improved,20276.28,Fair,1323189.48024,32.815166,-117.195686,32.8165018,-117.1949351
19565,SS-019427,69.528,MT PUTMAN AV,MT PUTMAN CT,MT HORTON DR,880.9151,36.0,Residential,AC Improved,31712.9436,Fair,2204937.5426207995,32.8165018,-117.1949351,32.8186117,-117.1937802
19567,SS-019429,53.4,MT RIAS PL,MT ADA RD,BALBOA AV,340.0132,40.0,Residential,AC Improved,13600.528,Fair,726268.1952,32.819359,-117.173439,32.8202101,-117.173449
19568,SS-019430,28.36,MT ROYAL AV,DIANE AV,MT ROYAL PL,157.0287,36.0,Residential,AC Improved,5653.0332,Poor,160320.021552,32.833546,-117.187103,32.833538,-117.186577
19569,SS-019431,33.25,MT ROYAL AV,MT ROYAL PL,ROYAL GREENS PL,308.0581,36.0,Residential,AC Improved,11090.0916,Poor,368745.5457,32.833538,-117.186577,32.8335342,-117.1856017
19570,SS-019432,59.0,MT ROYAL AV,MT ROYAL CT,DIANE AV,288.3822,40.0,Residential,AC Improved,11535.288,Fair,680581.9920000001,32.8335424,-117.1880348,32.833546,-117.187103
19572,SS-019434,60.663999999999994,MT ROYAL AV,KINGS WY,MT ROYAL CT,185.6257,40.0,Residential,AC Improved,7425.028,Fair,450431.898592,32.833458,-117.188622,32.8335424,-117.1880348
19575,SS-019437,65.39,MT SANDY DR,BRANDYWINE ST,MT LAURENCE DR,308.026,36.0,Local,AC Improved,11088.936000000002,Fair,725105.52504,32.8060534,-117.2107394,32.8068374,-117.2107333
19577,SS-019439,74.57600000000001,MT ST HELENS DR,MT ST HELENS WY,MT CERVIN DR,225.2487,36.0,Residential,AC Improved,8108.9532,Good,604733.2938432,32.831905,-117.187469,32.8322257,-117.1868316
19578,SS-019440,48.0,MT ST HELENS DR,MT ST HELENS CT,MT ST HELENS WY,236.907,36.0,Residential,AC Improved,8528.652,Fair,409375.29600000003,32.831588,-117.1881371,32.831905,-117.187469
19579,SS-019441,56.568000000000005,MT ST HELENS DR,MT CRESTI DR,MT ST HELENS CT,430.4884,36.0,Residential,AC Improved,15497.5824,Fair,876667.2412032,32.831005,-117.189362,32.831588,-117.1881371
19582,SS-019444,84.4,MT TAMI DR,TAMRES DR,MT TAMI LN,933.8333,40.0,Residential,AC Improved,37353.332,Good,3152621.2208,32.79911,-117.181549,32.801296,-117.182541
19583,SS-019445,50.68600000000001,MT TAMI LN,MT TAMI DR,MT AACHEN AV,472.0,36.0,Residential,AC Improved,16992.0,Fair,861256.512,32.801296,-117.182541,32.801987,-117.181396
19584,SS-019446,52.21,MT TERMINUS DR,MT ALIFAN DR,MT BIGELOW DR,256.8912,36.0,Residential,AC Improved,9248.0832,Fair,482842.423872,32.811497,-117.194206,32.8121643,-117.1944038
19586,SS-019448,49.01,MT VOSS DR,MT FORDE AV,MT HUKEE AV,726.9867,36.0,Residential,AC Improved,26171.5212,Fair,1282666.254012,32.8182287,-117.196743,32.819285,-117.1947408
19587,SS-019449,69.408,MTN GLEN TR,BRIARCLIFF DR,SCRIPPS LAKE DR,156.3671,36.0,Residential,AC Improved,5629.2156,Fair,390712.5963648,32.9116156,-117.0896123,32.9120481,-117.0896926
19589,SS-019451,87.586,MTN PASS RD,BRIARLEAF WY,OAKVIEW WY,1286.7577,40.0,Prime,AC Improved,51470.308,Good,4508078.396488,32.9390924,-117.0721987,32.941177,-117.069467
19590,SS-019452,92.36399999999999,MTN PASS RD,SPRINGHURST DR,BRIARLEAF WY,640.1133,40.0,Prime,AC Improved,25604.532000000003,Good,2364936.993648,32.938767,-117.074202,32.9390924,-117.0721987
19593,SS-019455,17.2,MUCHACHA WY,ROBUSTO RD,AMARO DR,532.0048,36.0,Residential,AC Improved,19152.1728,Poor,329417.37215999997,32.8362871,-117.1072114,32.8361221,-117.1055242
19595,SS-019457,68.87,MUIR AV,ABBOTT ST,WEST POINT LOMA BL,555.4071,30.0,Residential,AC Improved,16662.213,Fair,1147526.60931,32.7524813,-117.2488904,32.7533895,-117.2503367
19596,SS-019458,72.006,MUIR AV,BACON ST,ABBOTT ST,659.0067,30.0,Residential,AC Improved,19770.201,Good,1423573.093206,32.7514089,-117.247153,32.7524813,-117.2488904
19597,SS-019459,73.488,MUIR AV,CABLE ST,BACON ST,663.4110000000001,30.0,Residential,AC Improved,19902.33,Good,1462582.42704,32.7503584,-117.2454294,32.7514089,-117.247153
19598,SS-019460,69.922,MUIR AV,SUNSET CLIFFS BL,CABLE ST,655.4060000000001,30.0,Residential,AC Improved,19662.18,Fair,1374818.94996,32.749297,-117.2437116,32.7503584,-117.2454294
19599,SS-019461,76.88,MUIR AV,EBERS ST,SUNSET CLIFFS BL,652.6077,30.0,Residential,AC Improved,19578.231,Good,1505174.39928,32.7482291,-117.2419822,32.749297,-117.2437116
19600,SS-019462,69.182,MUIR AV,FROUDE ST,EBERS ST,667.012,30.0,Residential,AC Improved,20010.36,Fair,1384356.72552,32.7471639,-117.2402143,32.7482291,-117.2419822
19601,SS-019463,74.146,MUIR AV,GUIZOT ST,FROUDE ST,643.0629,30.0,Residential,AC Improved,19291.887,Good,1430416.2535020001,32.74607659999999,-117.2384972,32.7471639,-117.2402143
19603,SS-019465,82.55,MUIR AV,VENICE ST,GUIZOT ST,795.8309,30.0,Residential,PCC Jointed Concrete,23874.927000000003,Good,1970875.22385,32.7447947,-117.2364178,32.74607659999999,-117.2384972
19604,SS-019466,54.018,MUIRLANDS DR,VISTA VERDE DR,EL CAM DEL TEATRO,839.9101,20.0,Prime,AC Improved,16798.202,Fair,907405.2756360001,32.832047,-117.26123,32.831474,-117.262466
19605,SS-019467,71.66,MUIRLANDS DR,EL CAM DEL TEATRO,NAUTILUS ST,702.2862,20.0,Prime,AC Improved,14045.723999999998,Good,1006516.58184,32.831474,-117.262466,32.8331438,-117.2633344
19606,SS-019468,61.93600000000001,MUIRLANDS DR,EL PASO REAL,VISTA VERDE DR,276.9841,20.0,Prime,AC Improved,5539.682,Fair,343105.744352,32.831299,-117.261398,32.832047,-117.26123
19607,SS-019469,71.47,MUIRLANDS DR,EL CAM DEL TEATRO,EL PASO REAL,696.8732,20.0,Prime,AC Improved,13937.464,Good,996110.5520799999,32.831474,-117.262466,32.831299,-117.261398
